ticker,ym,month_end,revenue
2454,2024-03,2024-03-01,38481870000
2454,2024-02,2024-02-01,44496290000
2454,2024-01,2024-01-01,43679986000
2454,2023-12,2023-12-01,43071172000
2454,2023-11,2023-11-01,42810847000
2454,2023-10,2023-10-01,36078033000
2454,2023-09,2023-09-01,42256360000
2455,2026-09,2026-09-01,470904000
2455,2026-08,2026-08-01,422106000
2455,2026-07,2026-07-01,325993000
2455,2026-06,2026-06-01,320785000
2455,2026-05,2026-05-01,318595000
2455,2026-04,2026-04-01,311246000
2455,2026-03,2026-03-01,307741000
2455,2026-02,2026-02-01,340323000
2455,2026-01,2026-01-01,319238000
2455,2025-12,2025-12-01,285178000
2455,2025-11,2025-11-01,355173000
2455,2025-10,2025-10-01,346803000
2455,2025-09,2025-09-01,275126000
2455,2025-08,2025-08-01,290875000
2455,2025-07,2025-07-01,263848000
2455,2025-06,2025-06-01,218948000
2455,2025-05,2025-05-01,231292000
2455,2025-04,2025-04-01,266842000
2455,2025-03,2025-03-01,265548000
2455,2025-02,2025-02-01,261272000
2455,2025-01,2025-01-01,248868000
2455,2024-12,2024-12-01,237339000
2455,2024-11,2024-11-01,236267000
2455,2024-10,2024-10-01,269294000
2455,2024-09,2024-09-01,273961000
2455,2024-08,2024-08-01,262493000
2455,2024-07,2024-07-01,296919000
2455,2024-06,2024-06-01,291927000
2455,2024-05,2024-05-01,286755000
2455,2024-04,2024-04-01,295997000
2455,2024-03,2024-03-01,263703000
2455,2024-02,2024-02-01,277694000
2455,2024-01,2024-01-01,294549000
2455,2023-12,2023-12-01,325709000
2455,2023-11,2023-11-01,316680000
2455,2023-10,2023-10-01,286930000
2465,2026-09,2026-09-01,1180621000
2465,2026-08,2026-08-01,1070629000
2465,2026-07,2026-07-01,937969000
2465,2026-06,2026-06-01,704375000
2465,2026-05,2026-05-01,863341000
2465,2026-04,2026-04-01,624910000
2465,2026-03,2026-03-01,477648000
2465,2026-02,2026-02-01,466630000
2465,2026-01,2026-01-01,360721000
2465,2025-12,2025-12-01,307434000
2465,2025-11,2025-11-01,259818000
2465,2025-10,2025-10-01,1426276000
2465,2025-09,2025-09-01,244302000
2465,2025-08,2025-08-01,281096000
2465,2025-07,2025-07-01,145673000
